Occupation,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level
Radio Frequency Identification Device Specialists,4,53,50,72,55,41,46,53,54,69,52,41,48,38,Not available,66,57,25,27,69,52,56,52
Robotics Technicians,3,53,52,72,57,50,45,53,46,69,52,50,54,47,39,72,57,44,46,56,46,56,45
"Title Examiners, Abstractors, and Searchers",2,50,45,66,52,35,30,50,43,69,52,31,32,6,Not relevant,78,55,6,Not relevant,66,50,60,52
Food Service Managers,2,60,54,66,54,50,46,69,55,69,50,47,41,13,9,66,52,16,16,69,52,50,45
"Office Clerks, General",2,44,39,50,43,28,32,47,41,69,50,28,30,6,Not relevant,69,50,0,Not relevant,66,43,53,45
Power Distributors and Dispatchers,3,50,43,69,54,44,37,69,46,69,50,44,39,19,13,66,52,22,21,66,46,53,45
Sound Engineering Technicians,3,53,45,56,52,44,41,53,50,69,50,28,29,19,14,60,50,10,5,66,45,56,45
Spa Managers,3,63,55,72,57,60,52,75,59,69,50,44,41,13,11,60,54,3,Not relevant,75,57,53,52
Animal Control Workers,2,50,41,63,50,38,37,50,41,69,48,22,18,10,5,53,43,6,Not relevant,69,43,50,41
"Buyers and Purchasing Agents, Farm Products",4,53,45,72,54,38,43,53,45,69,48,50,43,13,11,60,50,16,20,72,55,53,45
Payroll and Timekeeping Clerks,2,44,41,53,45,35,36,50,41,69,48,50,43,16,9,69,54,6,Not relevant,56,45,53,45
Athletes and Sports Competitors,2,50,43,69,45,47,43,56,43,69,46,28,21,0,Not relevant,53,43,19,14,72,43,44,41
"Camera Operators, Television, Video, and Film",3,47,43,53,50,44,41,53,45,69,46,25,27,10,7,56,46,0,Not relevant,56,45,47,41
Locomotive Engineers,2,53,43,66,45,47,43,66,54,69,46,38,37,0,Not relevant,60,50,10,5,66,43,50,41
Passenger Attendants,2,41,36,47,46,16,21,56,46,69,46,28,20,10,5,50,41,0,Not relevant,69,41,38,34
Bartenders,2,50,43,53,41,47,41,50,43,69,45,31,30,6,Not relevant,50,43,0,Not relevant,53,43,44,43
Counter and Rental Clerks,2,44,32,53,41,28,29,50,41,69,45,31,32,10,7,56,45,0,Not relevant,60,43,50,43
First-Line Supervisors of Food Preparation and Serving Workers,2,50,46,56,57,53,45,72,54,69,45,50,43,10,5,60,50,0,Not relevant,72,54,47,45
Driver/Sales Workers,2,44,30,53,48,25,27,47,37,69,43,41,27,0,Not relevant,50,43,0,Not relevant,66,41,44,43
Pest Control Workers,2,53,41,69,48,44,39,66,43,69,43,41,37,0,Not relevant,50,43,25,25,66,43,66,43
Waiters and Waitresses,2,47,30,47,39,35,30,50,39,69,41,28,25,3,Not relevant,44,34,0,Not relevant,66,36,25,30
"Court, Municipal, and License Clerks",2,48,43,53,49,29,27,52,43,68,52,34,29,7,Not relevant,65,53,12,Not relevant,66,52,63,50
Architectural and Civil Drafters,3,50,45,64,53,41,42,50,47,67,48,50,54,27,21,63,54,27,29,56,47,53,47
Cytogenetic Technologists,4,56,48,72,57,47,43,53,48,66,57,50,43,10,7,72,64,56,54,66,57,69,57
"Electronics Engineers, Except Computer",4,60,54,75,57,47,45,63,52,66,57,56,52,41,41,75,59,56,45,69,57,69,57
Fuel Cell Engineers,5,60,54,69,59,56,45,63,54,66,57,56,55,31,Not available,72,66,66,55,63,54,66,57
"Teaching Assistants, Postsecondary",5,50,45,53,48,60,50,53,46,66,57,31,29,19,14,72,61,25,23,63,50,56,48
Aerospace Engineering and Operations Technologists and Technicians,3,50,43,72,57,47,41,53,45,66,55,50,43,28,23,69,54,53,54,66,45,53,45
Foresters,4,50,52,72,61,47,43,75,63,66,55,50,52,10,5,75,57,47,48,75,54,63,59
Nanosystems Engineers,5,69,71,75,64,50,52,56,59,66,55,69,73,35,39,72,75,72,68,75,61,72,70
Software Quality Assurance Analysts and Testers,4,56,43,75,55,44,41,63,54,66,55,31,32,69,50,72,57,50,46,69,50,66,55
Telecommunications Engineering Specialists,3,60,54,66,54,47,41,53,45,66,55,50,43,35,29,66,55,22,20,56,52,56,54
Electrical and Electronics Drafters,3,49,45,58,50,36,38,47,41,66,54,44,43,19,14,66,54,22,22,67,46,55,48
"First-Line Supervisors of Mechanics, Installers, and Repairers",3,56,54,69,55,53,54,75,57,66,54,47,45,22,16,66,57,19,20,69,55,50,50
Mechatronics Engineers,4,60,55,63,59,47,48,56,54,66,54,60,55,31,Not available,63,57,47,Not available,63,54,63,54
Ophthalmic Medical Technicians,3,50,45,50,45,41,37,50,43,66,54,38,36,13,7,53,52,25,27,56,52,53,43
Solar Energy Installation Managers,3,56,46,66,54,50,43,69,52,66,54,41,46,19,14,63,54,16,13,63,52,60,48
Music Directors and Composers,4,53,44,66,51,47,42,59,49,66,53,24,21,14,9,59,49,11,8,64,52,59,50
Broadcast Technicians,3,53,45,69,48,47,43,63,52,66,52,44,41,28,27,53,52,22,14,53,46,56,45
Geothermal Production Managers,3,63,46,75,55,56,48,72,63,66,52,56,54,22,18,72,61,35,Not available,72,57,66,54
Mechanical Engineering Technologists and Technicians,3,56,46,66,54,47,45,60,48,66,52,53,48,25,18,72,59,47,43,63,50,63,50
Solar Energy Systems Engineers,4,60,52,66,55,47,43,53,52,66,52,53,55,28,23,72,57,53,54,63,54,66,54
Traffic Technicians,3,50,45,56,50,41,41,53,45,66,52,47,45,25,18,56,57,44,41,56,48,53,46
Food Science Technicians,3,50,46,56,52,47,41,50,45,66,48,47,45,13,7,66,57,56,46,63,46,63,46
Graphic Designers,4,53,45,60,52,41,39,50,45,66,48,25,30,16,11,56,54,6,Not relevant,60,50,50,45
Psychiatric Aides,2,53,43,53,46,50,45,69,52,66,48,25,25,0,Not relevant,50,45,16,11,69,43,50,43
Receptionists and Information Clerks,2,50,34,56,45,35,34,44,36,66,48,28,30,10,5,56,46,0,Not relevant,66,43,56,45
Forest Fire Inspectors and Prevention Specialists,3,50,46,75,55,53,45,60,48,66,46,28,34,16,9,53,48,22,25,69,48,53,43
Massage Therapists,3,50,43,50,46,44,41,50,43,66,46,25,21,0,Not relevant,50,45,19,14,66,52,50,41
Baggage Porters and Bellhops,2,31,30,50,39,31,29,47,32,66,45,25,27,6,Not relevant,47,37,0,Not relevant,66,37,44,30
Elevator and Escalator Installers and Repairers,3,53,43,66,43,31,32,56,45,66,45,22,23,16,11,53,46,38,37,53,41,41,39
Physical Therapist Aides,2,47,39,50,41,35,39,53,46,66,45,25,27,6,Not relevant,50,43,25,25,53,43,47,39
Recycling Coordinators,2,53,45,66,50,50,43,63,50,66,45,38,39,10,7,63,50,6,Not relevant,72,48,53,45
Aircraft Cargo Handling Supervisors,2,50,41,69,50,63,52,66,55,66,43,50,41,16,9,56,43,13,7,66,45,53,46
Bicycle Repairers,2,47,36,66,45,44,34,47,41,66,43,28,29,3,Not relevant,50,43,6,Not relevant,60,43,47,36
"Computer, Automated Teller, and Office Machine Repairers",3,50,43,63,45,41,37,50,43,66,43,22,25,28,18,53,45,22,23,56,43,50,43
Nursing Assistants,3,47,39,53,45,35,30,56,43,66,43,28,27,0,Not relevant,53,43,19,13,53,43,44,39
Subway and Streetcar Operators,2,50,43,50,46,41,37,56,45,66,43,35,29,0,Not relevant,53,45,0,Not relevant,60,39,44,36
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2,41,34,47,37,31,30,44,29,66,41,28,27,6,Not relevant,47,34,0,Not relevant,60,41,35,30
"Farmers, Ranchers, and Other Agricultural Managers",4,57,49,72,55,51,45,70,53,65,52,43,40,16,10,62,54,47,41,72,54,54,51
Nanotechnology Engineering Technologists and Technicians,4,52,47,66,52,44,46,64,51,64,52,53,53,31,27,67,55,56,54,60,53,58,53
Credit Analysts,4,66,52,72,57,35,36,50,43,63,57,60,59,16,14,66,57,10,5,66,57,53,55
Database Administrators,4,63,55,72,59,50,48,60,59,63,55,53,50,60,55,63,63,25,21,60,55,60,55
Geographic Information Systems Technologists and Technicians,4,61,53,69,56,49,44,50,47,63,55,56,55,45,43,70,62,56,Not available,64,53,63,54
"Insurance Appraisers, Auto Damage",3,47,43,60,54,28,21,38,41,63,55,41,39,6,Not relevant,63,52,3,Not relevant,69,54,69,46
Desktop Publishers,3,50,43,69,55,47,43,50,50,63,54,25,30,41,37,69,57,0,Not relevant,63,52,53,52
Biofuels/Biodiesel Technology and Product Development Managers,4,56,54,66,59,47,46,56,55,63,52,53,45,25,20,66,61,53,Not available,66,50,66,55
Bioinformatics Technicians,4,63,55,63,54,44,41,56,50,63,52,60,55,53,43,69,61,53,48,60,52,63,54
Computer Network Support Specialists,4,56,48,69,54,41,46,56,52,63,52,28,37,31,Not available,60,55,22,21,56,50,50,50
Data Warehousing Specialists,4,50,46,72,55,41,39,47,45,63,52,50,46,69,54,72,57,22,Not available,60,52,56,48
Database Architects,4,53,52,72,61,47,45,56,52,63,52,50,48,56,59,66,63,25,Not available,63,54,60,57
Occupational Therapy Aides,3,50,43,56,48,50,43,56,45,63,52,25,25,3,Not relevant,53,48,16,11,66,50,53,43
Online Merchants,4,47,45,63,55,35,36,53,52,63,52,50,45,35,25,66,54,6,Not relevant,63,48,60,46
Tellers,2,47,43,53,46,31,36,53,45,63,52,50,39,6,Not relevant,53,46,0,Not relevant,56,43,50,43
Ship Engineers,3,50,45,72,54,41,37,66,52,63,50,28,34,19,11,56,48,38,36,63,45,53,41
Web Developers,3,63,52,69,55,47,45,50,48,63,50,44,41,78,61,66,57,25,32,56,46,53,50
Billing and Posting Clerks,2,45,38,53,45,28,29,49,37,63,48,42,37,25,17,58,46,0,Not relevant,59,44,44,42
Non-Destructive Testing Specialists,2,66,50,66,50,53,48,63,50,63,48,50,45,19,16,66,54,44,39,56,45,56,45
"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,53,43,66,54,47,41,60,46,63,48,31,32,25,23,60,52,25,29,56,45,50,45
Retail Loss Prevention Specialists,2,56,43,69,52,47,39,63,50,63,46,41,39,16,14,56,52,6,Not relevant,63,50,53,46
Veterinary Assistants and Laboratory Animal Caretakers,2,47,43,56,45,28,30,53,45,63,46,44,37,6,Not relevant,53,45,41,34,50,43,53,46
Gambling and Sports Book Writers and Runners,2,41,36,47,41,31,30,53,45,63,45,50,39,10,5,44,45,6,Not relevant,53,41,47,39
Merchandise Displayers and Window Trimmers,3,47,43,56,48,35,29,44,41,63,45,25,20,13,7,50,45,6,Not relevant,56,46,47,41
Railroad Conductors and Yardmasters,2,50,43,66,52,44,39,69,57,63,45,31,37,13,7,53,46,13,7,69,45,50,41
Skincare Specialists,3,53,41,50,43,47,39,50,43,63,45,13,9,0,Not relevant,53,45,10,9,66,43,35,39
Cargo and Freight Agents,2,44,39,56,52,25,27,50,45,63,43,31,36,10,5,56,45,0,Not relevant,66,43,50,43
Pharmacy Aides,2,47,36,50,41,38,32,44,37,63,43,38,34,13,7,56,46,13,7,60,41,44,36
Segmental Pavers,2,41,36,56,43,35,34,47,41,63,43,25,29,0,Not relevant,44,39,3,Not relevant,63,39,41,37
"Locker Room, Coatroom, and Dressing Room Attendants",2,28,29,38,39,10,5,44,34,63,41,10,5,0,Not relevant,41,34,0,Not relevant,66,39,31,30
Personal Care Aides,2,44,39,50,43,44,37,53,45,63,41,22,23,0,Not relevant,47,39,19,11,56,41,47,39
Security Guards,2,50,36,53,41,38,32,56,45,63,41,19,11,0,Not relevant,53,43,13,7,56,39,50,41
Baristas,1,41,37,47,39,35,29,50,36,63,37,28,29,0,Not relevant,50,39,0,Not relevant,60,37,41,34
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",3,52,44,63,50,47,39,53,46,61,45,42,39,13,9,55,46,25,21,53,44,49,43
Fast Food and Counter Workers,1,39,29,45,35,33,32,49,32,61,37,39,28,2,Not relevant,44,33,0,Not relevant,52,38,33,31
Mathematicians,5,75,75,81,73,60,54,50,43,60,59,100,86,38,37,75,71,66,66,60,61,63,64
Chemical Engineers,4,69,64,75,70,47,52,56,55,60,57,72,66,35,41,72,63,81,73,66,55,56,55
Surgical Technologists,3,50,43,53,45,50,45,69,50,60,55,41,39,3,Not relevant,50,54,31,30,53,43,47,43
Chemical Plant and System Operators,2,56,43,63,54,47,41,66,54,60,54,41,41,19,14,56,54,47,41,53,45,50,43
Quality Control Analysts,3,53,45,56,52,44,41,69,55,60,54,50,46,19,11,69,55,44,41,53,52,56,48
Remote Sensing Technicians,4,50,50,69,55,44,43,60,52,60,54,63,55,44,46,63,59,41,39,63,52,56,54
Wind Energy Engineers,4,50,54,75,64,44,41,53,57,60,54,63,64,28,Not available,69,66,56,54,60,50,60,54
Statistical Assistants,4,66,54,69,55,47,43,50,43,60,52,85,70,50,50,69,57,28,36,60,54,63,54
Electrical and Electronic Engineering Technologists and Technicians,3,53,48,67,54,42,41,55,50,60,51,55,50,30,Not available,64,58,43,42,56,48,53,47
Cartographers and Photogrammetrists,4,56,48,63,54,47,43,53,45,60,50,47,45,22,16,75,59,22,21,53,45,63,52
Phlebotomists,3,50,43,56,46,47,43,53,43,60,50,28,30,16,9,53,46,35,30,60,54,53,43
Photonics Technicians,3,56,46,56,52,38,43,56,48,60,50,38,37,31,23,66,52,35,Not available,53,45,53,46
Endoscopy Technicians,3,53,43,63,46,38,34,53,45,60,48,25,30,10,5,66,57,19,13,60,45,56,43
Fabric and Apparel Patternmakers,3,53,43,69,48,50,43,53,46,60,48,53,43,25,18,53,46,3,Not relevant,53,43,50,41
Photographic Process Workers and Processing Machine Operators,2,47,41,53,45,38,41,53,46,60,48,25,32,35,23,56,46,16,14,56,43,44,41
Avionics Technicians,3,50,45,69,54,41,37,53,46,60,46,28,30,16,13,56,50,47,41,60,43,56,45
Electrical Power-Line Installers and Repairers,2,50,43,53,43,44,39,56,43,60,46,25,27,6,Not relevant,50,43,19,14,47,41,38,39
Gambling Cage Workers,2,31,32,50,46,28,30,50,43,60,46,63,41,6,Not relevant,50,43,0,Not relevant,69,45,50,43
"Hotel, Motel, and Resort Desk Clerks",2,44,32,47,50,41,37,50,43,60,46,41,30,19,13,50,50,0,Not relevant,69,43,47,41
Recreational Vehicle Service Technicians,2,50,45,60,50,35,34,50,43,60,46,25,25,13,7,50,41,16,13,60,45,47,39
Self-Enrichment Teachers,3,53,45,53,45,60,50,53,45,60,46,25,23,19,11,53,54,10,5,66,52,50,45
Transportation Inspectors,4,41,41,60,46,35,36,60,46,60,46,41,34,10,5,66,52,25,29,66,48,60,48
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,53,43,63,43,35,30,50,41,60,45,25,23,3,Not relevant,53,45,16,9,53,43,47,41
Audiovisual Equipment Installers and Repairers,3,60,45,60,52,53,41,47,41,60,45,35,34,28,21,63,50,31,25,53,43,44,36
Chemical Equipment Operators and Tenders,2,50,41,60,45,44,36,69,45,60,45,47,41,16,9,60,48,41,30,53,43,50,43
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1,41,37,47,45,31,29,44,41,60,45,22,16,16,9,50,39,0,Not relevant,75,48,47,39
Farm Labor Contractors,2,35,34,50,46,31,30,44,37,60,45,28,30,10,7,44,41,6,Not relevant,63,48,44,39
Home Appliance Repairers,2,47,32,69,46,28,30,47,41,60,45,28,29,16,9,53,41,19,18,63,43,44,39
Postal Service Clerks,2,41,29,50,46,28,29,50,36,60,45,44,36,16,9,53,45,0,Not relevant,56,43,47,43
Power Plant Operators,2,47,43,72,52,41,34,56,48,60,45,28,27,19,11,53,46,25,27,63,43,50,41
Water and Wastewater Treatment Plant and System Operators,3,47,45,56,46,41,39,66,54,60,45,50,43,16,9,53,46,41,30,56,43,47,41
Barbers,3,38,36,47,39,22,23,47,39,60,43,22,16,0,Not relevant,44,30,6,Not relevant,53,39,25,29
Data Entry Keyers,2,44,30,47,41,28,30,56,32,60,43,25,29,19,14,66,48,0,Not relevant,47,43,50,43
"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,31,34,66,43,28,32,53,43,60,43,28,32,16,11,53,45,28,32,50,43,50,43
Electricians,3,53,46,60,52,50,50,53,50,60,43,50,46,0,Not relevant,50,46,31,30,53,45,47,43
"Electronic Equipment Installers and Repairers, Motor Vehicles",3,44,34,63,45,38,32,47,41,60,43,31,32,22,16,53,45,22,21,50,43,47,41
Gambling Dealers,2,31,34,44,41,25,29,50,43,60,43,44,29,0,Not relevant,50,37,0,Not relevant,60,41,31,32
"Model Makers, Wood",3,50,37,56,45,31,27,60,41,60,43,35,Not available,10,9,60,45,16,14,53,41,44,39
"Rail Yard Engineers, Dinkey Operators, and Hostlers",2,50,39,56,43,44,36,66,45,60,43,35,29,6,Not relevant,53,45,13,7,63,45,47,36
"Service Unit Operators, Oil and Gas",2,50,43,69,46,47,34,66,48,60,43,44,34,19,13,50,43,10,5,50,43,50,43
Manufactured Building and Mobile Home Installers,2,60,43,69,46,60,45,63,48,60,41,41,41,0,Not relevant,53,45,16,13,60,41,41,41
"Radio, Cellular, and Tower Equipment Installers and Repairers",3,47,39,56,45,41,34,53,45,60,41,41,43,25,18,53,48,10,13,53,43,47,39
"Rotary Drill Operators, Oil and Gas",2,47,43,66,46,50,45,63,46,60,41,35,27,0,Not relevant,53,43,6,Not relevant,56,41,50,43
Motorboat Operators,2,50,39,56,48,38,39,56,48,60,39,35,29,0,Not relevant,41,39,19,20,63,41,38,37
Hoist and Winch Operators,2,47,30,69,37,38,36,66,37,60,34,41,27,0,Not relevant,44,34,6,Not relevant,53,32,31,32
Musicians and Singers,3,45,41,52,44,36,36,49,45,59,44,14,Not relevant,0,Not relevant,49,43,0,Not relevant,53,44,42,38
"Geological Technicians, Except Hydrologic Technicians",4,45,41,66,48,38,35,55,47,58,47,41,40,19,15,66,57,53,52,56,47,56,48
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2,38,35,55,39,38,36,61,44,58,38,31,25,0,Not relevant,50,40,5,Not relevant,50,35,42,37
"Bookkeeping, Accounting, and Auditing Clerks",3,44,45,56,46,25,27,50,41,56,54,60,48,10,5,56,54,3,Not relevant,53,45,53,45
Mechanical Drafters,3,56,52,56,46,47,41,50,45,56,50,56,55,31,32,56,55,22,25,53,54,50,45
Transportation Security Screeners,2,47,43,56,50,38,39,60,45,56,50,22,23,13,13,50,43,19,14,60,43,47,37
Agricultural Technicians,3,50,43,56,57,44,43,53,46,56,48,53,43,16,11,63,55,50,43,50,45,56,52
Aircraft Mechanics and Service Technicians,3,50,45,72,57,41,41,60,45,56,48,31,32,13,7,69,57,38,37,60,46,47,43
Automotive Engineering Technicians,3,50,45,63,48,35,37,53,48,56,48,53,48,28,27,66,57,41,43,63,48,56,46
Biofuels Processing Technicians,2,47,39,53,45,38,39,60,46,56,48,47,41,16,14,63,54,47,36,56,50,53,43
Freight Forwarders,2,53,45,56,48,41,43,63,46,56,48,50,43,13,11,63,46,0,Not relevant,60,48,60,46
Exercise Trainers and Group Fitness Instructors,3,50,41,50,45,56,52,56,52,56,46,19,11,6,Not relevant,47,45,16,9,63,46,44,39
Gambling Surveillance Officers and Gambling Investigators,2,53,45,69,54,38,41,78,55,56,46,28,25,10,5,56,50,6,Not relevant,66,52,53,45
Gas Plant Operators,3,44,45,63,48,38,36,69,50,56,46,38,39,16,13,53,48,31,29,56,46,56,43
"Makeup Artists, Theatrical and Performance",3,50,46,53,46,38,36,50,45,56,46,25,30,6,Not relevant,56,46,16,9,63,45,44,39
Solar Thermal Installers and Technicians,3,50,45,56,50,38,41,56,46,56,46,38,39,16,11,60,46,13,Not available,56,45,47,45
Bailiffs,3,44,30,50,45,28,29,60,46,56,45,13,11,3,Not relevant,47,41,0,Not relevant,60,43,31,32
Dietetic Technicians,3,53,45,53,45,53,45,53,55,56,45,47,43,13,7,53,46,25,25,60,46,53,45
Hydroelectric Plant Technicians,3,53,45,66,46,47,37,63,54,56,45,50,48,22,21,56,52,35,32,60,43,50,41
Library Technicians,3,47,41,50,46,50,41,47,41,56,45,25,30,16,11,60,55,6,Not relevant,56,43,47,43
Security and Fire Alarm Systems Installers,3,47,43,60,50,35,34,50,45,56,45,28,30,19,13,53,46,19,18,60,43,47,41
Tour Guides and Escorts,3,31,34,47,45,31,37,50,43,56,45,25,16,0,Not relevant,50,43,0,Not relevant,72,46,31,32
Word Processors and Typists,2,31,29,44,36,22,21,50,34,56,45,41,36,19,13,63,50,0,Not relevant,50,41,56,46
Automotive Service Technicians and Mechanics,3,50,43,64,46,31,35,49,43,56,44,27,27,17,12,50,40,20,24,50,41,45,37
Dancers,3,44,41,50,37,38,39,47,43,56,43,10,5,0,Not relevant,44,41,0,Not relevant,47,43,38,36
"Derrick Operators, Oil and Gas",1,44,37,63,45,44,41,60,50,56,43,35,36,0,Not relevant,47,41,6,Not relevant,60,43,44,37
Hazardous Materials Removal Workers,3,50,43,63,52,38,32,66,45,56,43,25,30,6,Not relevant,53,43,25,25,53,41,50,41
"Library Assistants, Clerical",2,31,30,50,41,38,30,47,39,56,43,28,30,13,7,56,46,0,Not relevant,50,43,50,43
Medical Equipment Preparers,2,50,43,63,41,44,37,60,43,56,43,31,32,16,11,53,41,22,14,53,39,47,39
Millwrights,2,47,45,66,45,50,41,53,45,56,43,41,39,16,9,50,43,13,9,50,43,44,41
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,47,32,50,37,31,32,53,43,56,43,31,30,10,7,53,43,3,Not relevant,50,34,41,36
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,47,34,53,41,31,29,47,39,56,43,31,29,0,Not relevant,50,41,25,20,53,43,38,32
Stationary Engineers and Boiler Operators,3,50,37,60,45,31,30,56,45,56,43,25,21,6,Not relevant,53,43,38,30,50,43,50,39
"Umpires, Referees, and Other Sports Officials",2,50,43,60,50,50,41,53,45,56,43,38,30,0,Not relevant,50,45,10,11,66,45,44,36
"Cooks, Short Order",2,47,37,50,39,28,32,47,41,56,41,25,29,3,Not relevant,50,39,0,Not relevant,50,41,31,37
Couriers and Messengers,2,41,32,50,37,28,27,44,30,56,41,38,30,0,Not relevant,50,41,3,Not relevant,56,37,50,39
Log Graders and Scalers,2,50,39,56,43,35,30,50,43,56,41,44,39,13,7,47,41,19,11,53,41,50,43
Semiconductor Processing Technicians,2,38,32,60,41,31,29,56,43,56,41,22,25,16,11,60,48,22,18,47,41,44,37
Parking Attendants,2,31,25,47,39,28,29,44,34,56,39,44,32,0,Not relevant,38,27,0,Not relevant,63,34,44,29
Solar Photovoltaic Installers,2,50,43,56,50,38,34,53,45,56,39,38,45,6,Not relevant,50,39,19,21,50,41,35,37
"Plumbers, Pipefitters, and Steamfitters",3,50,43,59,48,42,39,50,42,55,45,36,38,2,Not relevant,52,44,14,Not relevant,53,40,38,39
Surveying and Mapping Technicians,3,53,42,63,45,45,42,50,43,55,43,61,51,24,23,63,53,27,29,55,44,53,49
Carpenters,2,49,39,52,45,36,35,53,42,55,40,41,42,0,Not relevant,52,41,10,Not relevant,53,39,35,37
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3,50,43,69,54,47,43,53,45,53,52,44,41,28,30,53,57,44,39,53,45,50,43
Electro-Mechanical and Mechatronics Technologists and Technicians,3,47,43,69,54,47,43,72,57,53,48,47,41,31,29,56,55,44,41,56,45,56,48
Audio and Video Technicians,3,50,43,63,54,44,43,69,48,53,46,25,29,25,18,63,52,0,Not relevant,53,45,53,45
Computer Numerically Controlled Tool Operators,3,50,45,66,57,44,43,69,55,53,46,47,41,44,37,56,52,25,21,50,43,44,41
"Fine Artists, Including Painters, Sculptors, and Illustrators",3,56,48,56,46,35,34,44,41,53,46,28,20,16,9,50,45,0,Not relevant,50,41,47,39
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,47,43,53,45,41,41,53,45,53,45,38,39,13,14,50,45,19,21,50,43,44,43
Camera and Photographic Equipment Repairers,3,50,45,63,48,41,32,47,41,53,45,35,36,19,18,53,50,28,27,50,43,41,43
Costume Attendants,2,38,32,47,41,22,23,53,43,53,45,13,14,0,Not relevant,47,45,0,Not relevant,53,43,38,34
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3,47,43,69,48,31,32,50,43,53,45,31,34,22,16,60,50,41,34,53,41,47,43
First-Line Supervisors of Housekeeping and Janitorial Workers,2,47,41,53,46,53,43,56,55,53,45,28,30,0,Not relevant,50,46,0,Not relevant,56,48,47,43
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",2,35,34,53,43,28,21,53,45,53,45,31,29,6,Not relevant,53,43,22,16,53,43,41,37
"Inspectors, Testers, Sorters, Samplers, and Weighers",2,35,34,56,46,25,30,50,45,53,45,41,36,13,9,53,43,16,14,53,43,56,45
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,44,39,50,43,53,43,69,50,53,45,10,9,0,Not relevant,47,41,13,9,63,43,38,37
Proofreaders and Copy Markers,4,38,34,50,43,25,20,47,39,53,45,22,14,6,Not relevant,81,61,3,Not relevant,56,45,66,57
Wind Turbine Service Technicians,3,53,45,63,45,50,43,56,45,53,45,28,39,16,9,56,46,25,29,53,43,47,39
Animal Trainers,2,56,45,60,48,63,55,53,50,53,43,22,23,3,Not relevant,47,45,19,20,63,43,47,39
Butchers and Meat Cutters,2,38,30,50,43,31,29,50,41,53,43,35,29,3,Not relevant,50,43,6,Not relevant,50,43,31,39
Childcare Workers,2,50,43,53,43,50,45,63,45,53,43,28,27,0,Not relevant,50,43,3,Not relevant,53,43,50,41
Computer Numerically Controlled Tool Programmers,3,56,52,56,50,47,39,63,52,53,43,56,50,78,59,56,50,22,25,50,43,56,43
Construction Laborers,2,28,30,44,37,28,29,41,36,53,43,25,20,0,Not relevant,44,37,13,7,56,41,31,29
Conveyor Operators and Tenders,1,44,37,50,41,28,29,60,45,53,43,25,27,6,Not relevant,47,41,19,21,50,41,44,39
Crane and Tower Operators,3,47,34,56,43,31,32,53,43,53,43,41,30,0,Not relevant,50,43,3,Not relevant,50,41,41,34
"Electric Motor, Power Tool, and Related Repairers",3,47,45,69,48,44,39,47,45,53,43,41,39,19,13,50,43,28,30,50,43,47,39
"Farmworkers, Farm, Ranch, and Aquacultural Animals",2,47,34,60,43,28,30,56,46,53,43,28,25,0,Not relevant,50,39,22,20,50,41,41,39
File Clerks,2,44,32,50,43,28,30,50,32,53,43,25,30,13,9,69,43,0,Not relevant,50,43,50,43
"Floor Layers, Except Carpet, Wood, and Hard Tiles",2,44,36,47,41,28,27,47,45,53,43,28,30,0,Not relevant,35,34,6,Not relevant,53,37,35,32
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",2,35,30,47,41,35,32,53,45,53,43,28,30,6,Not relevant,53,41,10,9,47,41,44,39
Funeral Attendants,2,25,21,44,39,22,20,53,41,53,43,19,18,3,Not relevant,41,37,10,7,60,43,35,34
Furniture Finishers,2,44,39,53,45,38,32,53,41,53,43,25,25,3,Not relevant,44,39,3,Not relevant,50,34,35,32
Gas Compressor and Gas Pumping Station Operators,2,47,34,66,43,31,34,53,43,53,43,31,30,10,7,53,45,22,18,50,43,50,41
Gem and Diamond Workers,3,38,37,50,45,31,30,50,43,53,43,44,41,0,Not relevant,47,41,10,9,53,43,41,41
Industrial Machinery Mechanics,3,53,45,66,50,41,41,53,45,53,43,35,36,19,21,47,43,19,21,50,43,44,39
"Insulation Workers, Mechanical",2,41,39,56,41,31,32,50,43,53,43,25,25,0,Not relevant,47,43,13,9,50,39,35,36
